Tamanho,Tipo Arquivo,Tipo Busca,Sequencial - No Comp.,Sequencial - Tempo (ms),Arvore Binaria - No Comp.,Arvore Binaria - Tempo (ms),AVL - No Comp.,AVL - Tempo (ms)
100,Ordenado,Presente,70,0.009800001862458885,8,0.004800000169780105,0,0.0012000018614344299
100,Ordenado,Nao Presente,100,0.012399999832268804,3,0.0015999976312741637,0,0.0007999988156370819
100,Nao Ordenado,Presente,49,0.021800005924887955,49,0.01920000067912042,0,0.0034000040614046156
100,Nao Ordenado,Nao Presente,100,0.01189999602502212,100,0.0185999961104244,0,0.0011000010999850929
500,Ordenado,Presente,275,0.04069999704370275,10,0.007299997378140688,0,0.001500004145782441
500,Ordenado,Nao Presente,500,0.08230000094044954,6,0.0034000040614046156,0,0.0022999956854619086
500,Nao Ordenado,Presente,236,0.03260000084992498,236,0.060500002291519195,0,0.0023000029614195228
500,Nao Ordenado,Nao Presente,500,0.08759999764151871,500,0.14180000289343297,0,0.0007999988156370819
1000,Ordenado,Presente,731,0.22039999748812988,17,0.014000004739500582,0,0.0011000010999850929
1000,Ordenado,Nao Presente,1000,0.1981999957934022,8,0.006200003554113209,0,0.001800006430130452
1000,Nao Ordenado,Presente,497,0.10820000170497224,497,0.16909999976633117,0,0.0027999994927085936
1000,Nao Ordenado,Nao Presente,1000,0.19519999477779493,1000,0.2736999958870001,0,0.0011000010999850929
5000,Ordenado,Presente,2480,0.44889999844599515,20,0.012099997547920793,0,0.0007999988156370819
5000,Ordenado,Nao Presente,5000,0.8487000013701618,9,0.00530000397702679,0,0.0008999995770864189
5000,Nao Ordenado,Presente,2777,0.5223999978625216,2777,1.210700000228826,0,0.0036999990697950125
5000,Nao Ordenado,Nao Presente,5000,0.8038000014494173,5000,1.210500005981885,0,0.0008999995770864189
10000,Ordenado,Presente,7386,0.9788999959710054,19,0.006800000846851617,0,0.00039999576983973384
10000,Ordenado,Nao Presente,10000,1.0162999969907105,8,0.0022000021999701858,0,0.000400003045797348
10000,Nao Ordenado,Presente,3927,0.4902000000583939,3927,0.5434999984572642,0,0.0013999961083754897
10000,Nao Ordenado,Nao Presente,10000,1.0177000003750436,10000,2.052600000752136,0,0.000400003045797348
